clk reset hsync vsync blank hcnt vcnt   time(ns)
 0    0     x     x     x     x    x         0
 1    0     1     1     1     7    2      2020
 0    0     1     1     1     7    2      2040
 1    0     1     1     0     8    2      2060
 0    0     1     1     0     8    2      2080
 1    0     1     1     0     9    2      2100
 0    0     1     1     0     9    2      2120
 1    0     0     1     0    10    2      2140
 0    0     0     1     0    10    2      2160
 1    0     0     1     0    11    2      2180
 0    0     0     1     0    11    2      2200
 1    0     0     1     0    12    2      2220
 0    0     0     1     0    12    2      2240
 1    0     0     1     0    13    2      2260
 0    0     0     1     0    13    2      2280
 1    0     0     1     0    14    2      2300
 0    0     0     1     0    14    2      2320
 1    0     0     1     0    15    2      2340
 0    0     0     1     0    15    2      2360
 1    0     1     1     0    16    2      2380
 0    0     1     1     0    16    2      2400
 1    0     1     1     0    17    2      2420
 0    0     1     1     0    17    2      2440
 1    0     1     1     0    18    2      2460
 0    0     1     1     0    18    2      2480
 1    0     1     1     0    19    2      2500
 0    0     1     1     0    19    2      2520
 1    0     1     1     1     0    3      2540
 0    0     1     1     1     0    3      2560
 1    0     1     1     1     1    3      2580
 0    0     1     1     1     1    3      2600
 1    0     1     1     1     2    3      2620
 0    0     1     1     1     2    3      2640
 1    0     1     1     1     3    3      2660
 0    0     1     1     1     3    3      2680
 1    0     1     1     1     4    3      2700
 0    0     1     1     1     4    3      2720
 1    0     1     1     1     5    3      2740
 0    0     1     1     1     5    3      2760
 1    0     1     1     1     6    3      2780
 0    0     1     1     1     6    3      2800
 1    0     1     1     1     7    3      2820
 0    0     1     1     1     7    3      2840
 1    0     1     1     0     8    3      2860
 0    0     1     1     0     8    3      2880
 1    0     1     1     0     9    3      2900
 0    0     1     1     0     9    3      2920
 1    0     0     1     0    10    3      2940
 0    0     0     1     0    10    3      2960
 1    0     0     1     0    11    3      2980
 0    0     0     1     0    11    3      3000
 1    0     0     1     0    12    3      3020
 0    0     0     1     0    12    3      3040
 1    0     0     1     0    13    3      3060
 0    0     0     1     0    13    3      3080
 1    0     0     1     0    14    3      3100
 0    0     0     1     0    14    3      3120
 1    0     0     1     0    15    3      3140
 0    0     0     1     0    15    3      3160
 1    0     1     1     0    16    3      3180
 0    0     1     1     0    16    3      3200
 1    0     1     1     0    17    3      3220
 0    0     1     1     0    17    3      3240
 1    0     1     1     0    18    3      3260
 0    0     1     1     0    18    3      3280
 1    0     1     1     0    19    3      3300
